Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Total
2019,1,Ciutat Vella,1,el Raval,1,625
2019,1,Ciutat Vella,1,el Raval,2,378
2019,1,Ciutat Vella,1,el Raval,3,751
2019,1,Ciutat Vella,1,el Raval,4,825
2019,1,Ciutat Vella,1,el Raval,5,629
2019,1,Ciutat Vella,1,el Raval,6,398
2019,1,Ciutat Vella,1,el Raval,7,455
2019,1,Ciutat Vella,1,el Raval,8,639
2019,1,Ciutat Vella,1,el Raval,9,488
2019,1,Ciutat Vella,1,el Raval,10,530
2019,1,Ciutat Vella,1,el Raval,11,675
2019,1,Ciutat Vella,1,el Raval,12,423
2019,1,Ciutat Vella,1,el Raval,13,353
2019,1,Ciutat Vella,1,el Raval,14,358
2019,1,Ciutat Vella,1,el Raval,15,484
2019,1,Ciutat Vella,1,el Raval,16,414
2019,1,Ciutat Vella,1,el Raval,17,523
2019,1,Ciutat Vella,1,el Raval,18,383
2019,1,Ciutat Vella,1,el Raval,19,682
2019,1,Ciutat Vella,1,el Raval,20,633
2019,1,Ciutat Vella,1,el Raval,21,843
2019,1,Ciutat Vella,2,el Gòtic,22,488
2019,1,Ciutat Vella,2,el Gòtic,23,866
2019,1,Ciutat Vella,2,el Gòtic,25,4238
2019,1,Ciutat Vella,2,el Gòtic,26,1888
2019,1,Ciutat Vella,2,el Gòtic,27,1454
2019,1,Ciutat Vella,2,el Gòtic,28,631
2019,1,Ciutat Vella,2,el Gòtic,29,471
2019,1,Ciutat Vella,2,el Gòtic,30,1276
2019,1,Ciutat Vella,2,el Gòtic,31,804
2019,1,Ciutat Vella,3,la Barceloneta,32,1095
2019,1,Ciutat Vella,3,la Barceloneta,33,421
2019,1,Ciutat Vella,3,la Barceloneta,34,371
2019,1,Ciutat Vella,3,la Barceloneta,35,453
2019,1,Ciutat Vella,3,la Barceloneta,36,583
2019,1,Ciutat Vella,3,la Barceloneta,37,556
2019,1,Ciutat Vella,3,la Barceloneta,38,489
2019,1,Ciutat Vella,3,la Barceloneta,39,499
2019,1,Ciutat Vella,3,la Barceloneta,40,458
2019,1,Ciutat Vella,3,la Barceloneta,41,570
2019,1,Ciutat Vella,3,la Barceloneta,42,673
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,5164
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,661
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,661
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,630
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,571
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,614
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,532
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,444
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,446
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,1020
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,583
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,409
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,519
2019,2,Eixample,5,el Fort Pienc,1,757
2019,2,Eixample,5,el Fort Pienc,2,753
2019,2,Eixample,5,el Fort Pienc,3,479
2019,2,Eixample,5,el Fort Pienc,4,640
2019,2,Eixample,5,el Fort Pienc,5,1074
2019,2,Eixample,5,el Fort Pienc,6,809
2019,2,Eixample,5,el Fort Pienc,7,627
2019,2,Eixample,5,el Fort Pienc,8,1002
2019,2,Eixample,5,el Fort Pienc,9,895
2019,2,Eixample,5,el Fort Pienc,10,577
2019,2,Eixample,5,el Fort Pienc,11,564
2019,2,Eixample,5,el Fort Pienc,12,732
2019,2,Eixample,5,el Fort Pienc,13,604
2019,2,Eixample,5,el Fort Pienc,14,507
2019,2,Eixample,5,el Fort Pienc,15,692
2019,2,Eixample,5,el Fort Pienc,16,951
2019,2,Eixample,5,el Fort Pienc,17,942
2019,2,Eixample,5,el Fort Pienc,18,953
2019,2,Eixample,5,el Fort Pienc,19,952
2019,2,Eixample,5,el Fort Pienc,20,639
2019,2,Eixample,6,la Sagrada Família,21,616
2019,2,Eixample,6,la Sagrada Família,22,605
2019,2,Eixample,6,la Sagrada Família,23,526
2019,2,Eixample,6,la Sagrada Família,24,532
2019,2,Eixample,6,la Sagrada Família,25,467
2019,2,Eixample,6,la Sagrada Família,26,875
2019,2,Eixample,6,la Sagrada Família,27,855
2019,2,Eixample,6,la Sagrada Família,28,1006
2019,2,Eixample,6,la Sagrada Família,29,529
2019,2,Eixample,6,la Sagrada Família,30,508
2019,2,Eixample,6,la Sagrada Família,31,494
2019,2,Eixample,6,la Sagrada Família,32,505
2019,2,Eixample,6,la Sagrada Família,33,540
2019,2,Eixample,6,la Sagrada Família,34,492
2019,2,Eixample,6,la Sagrada Família,35,555
2019,2,Eixample,6,la Sagrada Família,36,587
2019,2,Eixample,6,la Sagrada Família,37,594
2019,2,Eixample,6,la Sagrada Família,38,1099
2019,2,Eixample,6,la Sagrada Família,39,665
2019,2,Eixample,6,la Sagrada Família,40,706
2019,2,Eixample,6,la Sagrada Família,41,763
2019,2,Eixample,6,la Sagrada Família,42,874
2019,2,Eixample,6,la Sagrada Família,43,649
2019,2,Eixample,6,la Sagrada Família,44,590
2019,2,Eixample,6,la Sagrada Família,45,539
2019,2,Eixample,6,la Sagrada Família,46,744
2019,2,Eixample,6,la Sagrada Família,47,841
2019,2,Eixample,6,la Sagrada Família,48,512
2019,2,Eixample,6,la Sagrada Família,49,846
2019,2,Eixample,6,la Sagrada Família,50,743
2019,2,Eixample,6,la Sagrada Família,51,882
2019,2,Eixample,6,la Sagrada Família,52,829
2019,2,Eixample,6,la Sagrada Família,53,766
2019,2,Eixample,6,la Sagrada Família,54,926
2019,2,Eixample,7,la Dreta de l'Eixample,55,806
2019,2,Eixample,7,la Dreta de l'Eixample,56,701
2019,2,Eixample,7,la Dreta de l'Eixample,57,691
2019,2,Eixample,7,la Dreta de l'Eixample,58,735
2019,2,Eixample,7,la Dreta de l'Eixample,59,885
2019,2,Eixample,7,la Dreta de l'Eixample,60,911
2019,2,Eixample,7,la Dreta de l'Eixample,61,709
2019,2,Eixample,7,la Dreta de l'Eixample,62,830
2019,2,Eixample,7,la Dreta de l'Eixample,63,809
2019,2,Eixample,7,la Dreta de l'Eixample,64,734
2019,2,Eixample,7,la Dreta de l'Eixample,65,975
2019,2,Eixample,7,la Dreta de l'Eixample,66,946
2019,2,Eixample,7,la Dreta de l'Eixample,67,794
2019,2,Eixample,7,la Dreta de l'Eixample,68,1218
2019,2,Eixample,7,la Dreta de l'Eixample,69,721
2019,2,Eixample,7,la Dreta de l'Eixample,70,844
2019,2,Eixample,7,la Dreta de l'Eixample,71,1049
2019,2,Eixample,7,la Dreta de l'Eixample,72,753
2019,2,Eixample,7,la Dreta de l'Eixample,73,869
2019,2,Eixample,7,la Dreta de l'Eixample,74,721
2019,2,Eixample,7,la Dreta de l'Eixample,75,704
2019,2,Eixample,7,la Dreta de l'Eixample,76,980
2019,2,Eixample,7,la Dreta de l'Eixample,77,1705
2019,2,Eixample,7,la Dreta de l'Eixample,78,1728
2019,2,Eixample,7,la Dreta de l'Eixample,79,1737
2019,2,Eixample,7,la Dreta de l'Eixample,80,1530
2019,2,Eixample,7,la Dreta de l'Eixample,81,2132
2019,2,Eixample,7,la Dreta de l'Eixample,82,844
2019,2,Eixample,7,la Dreta de l'Eixample,83,2339
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,84,1139
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,85,1185
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,86,1000
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,87,653
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,88,983
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,89,1262
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,90,769
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,91,895
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,92,953
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,93,843
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,94,766
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,95,768
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,96,733
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,97,506
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,98,742
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,99,765
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,100,710
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,101,995
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,102,747
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,103,766
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,104,573
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,105,981
