Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Total
2017,1,Ciutat Vella,1,el Raval,1,603
2017,1,Ciutat Vella,1,el Raval,2,359
2017,1,Ciutat Vella,1,el Raval,3,734
2017,1,Ciutat Vella,1,el Raval,4,815
2017,1,Ciutat Vella,1,el Raval,5,614
2017,1,Ciutat Vella,1,el Raval,6,391
2017,1,Ciutat Vella,1,el Raval,7,456
2017,1,Ciutat Vella,1,el Raval,8,608
2017,1,Ciutat Vella,1,el Raval,9,478
2017,1,Ciutat Vella,1,el Raval,10,518
2017,1,Ciutat Vella,1,el Raval,11,661
2017,1,Ciutat Vella,1,el Raval,12,423
2017,1,Ciutat Vella,1,el Raval,13,365
2017,1,Ciutat Vella,1,el Raval,14,353
2017,1,Ciutat Vella,1,el Raval,15,490
2017,1,Ciutat Vella,1,el Raval,16,421
2017,1,Ciutat Vella,1,el Raval,17,513
2017,1,Ciutat Vella,1,el Raval,18,378
2017,1,Ciutat Vella,1,el Raval,19,658
2017,1,Ciutat Vella,1,el Raval,20,676
2017,1,Ciutat Vella,1,el Raval,21,817
2017,1,Ciutat Vella,2,el Gòtic,22,465
2017,1,Ciutat Vella,2,el Gòtic,23,878
2017,1,Ciutat Vella,2,el Gòtic,25,4340
2017,1,Ciutat Vella,2,el Gòtic,26,2030
2017,1,Ciutat Vella,2,el Gòtic,27,1583
2017,1,Ciutat Vella,2,el Gòtic,28,631
2017,1,Ciutat Vella,2,el Gòtic,29,451
2017,1,Ciutat Vella,2,el Gòtic,30,1326
2017,1,Ciutat Vella,2,el Gòtic,31,801
2017,1,Ciutat Vella,3,la Barceloneta,32,1205
2017,1,Ciutat Vella,3,la Barceloneta,33,410
2017,1,Ciutat Vella,3,la Barceloneta,34,369
2017,1,Ciutat Vella,3,la Barceloneta,35,449
2017,1,Ciutat Vella,3,la Barceloneta,36,630
2017,1,Ciutat Vella,3,la Barceloneta,37,548
2017,1,Ciutat Vella,3,la Barceloneta,38,475
2017,1,Ciutat Vella,3,la Barceloneta,39,533
2017,1,Ciutat Vella,3,la Barceloneta,40,467
2017,1,Ciutat Vella,3,la Barceloneta,41,583
2017,1,Ciutat Vella,3,la Barceloneta,42,678
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,1339
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,706
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,648
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,642
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,557
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,616
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,540
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,436
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,465
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,1008
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,585
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,423
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,537
2017,2,Eixample,5,el Fort Pienc,1,684
2017,2,Eixample,5,el Fort Pienc,2,770
2017,2,Eixample,5,el Fort Pienc,3,505
2017,2,Eixample,5,el Fort Pienc,4,642
2017,2,Eixample,5,el Fort Pienc,5,1106
2017,2,Eixample,5,el Fort Pienc,6,787
2017,2,Eixample,5,el Fort Pienc,7,622
2017,2,Eixample,5,el Fort Pienc,8,954
2017,2,Eixample,5,el Fort Pienc,9,909
2017,2,Eixample,5,el Fort Pienc,10,593
2017,2,Eixample,5,el Fort Pienc,11,570
2017,2,Eixample,5,el Fort Pienc,12,744
2017,2,Eixample,5,el Fort Pienc,13,615
2017,2,Eixample,5,el Fort Pienc,14,520
2017,2,Eixample,5,el Fort Pienc,15,683
2017,2,Eixample,5,el Fort Pienc,16,953
2017,2,Eixample,5,el Fort Pienc,17,967
2017,2,Eixample,5,el Fort Pienc,18,986
2017,2,Eixample,5,el Fort Pienc,19,988
2017,2,Eixample,5,el Fort Pienc,20,616
2017,2,Eixample,6,la Sagrada Família,21,625
2017,2,Eixample,6,la Sagrada Família,22,582
2017,2,Eixample,6,la Sagrada Família,23,518
2017,2,Eixample,6,la Sagrada Família,24,507
2017,2,Eixample,6,la Sagrada Família,25,487
2017,2,Eixample,6,la Sagrada Família,26,909
2017,2,Eixample,6,la Sagrada Família,27,851
2017,2,Eixample,6,la Sagrada Família,28,1049
2017,2,Eixample,6,la Sagrada Família,29,556
2017,2,Eixample,6,la Sagrada Família,30,505
2017,2,Eixample,6,la Sagrada Família,31,502
2017,2,Eixample,6,la Sagrada Família,32,512
2017,2,Eixample,6,la Sagrada Família,33,570
2017,2,Eixample,6,la Sagrada Família,34,489
2017,2,Eixample,6,la Sagrada Família,35,544
2017,2,Eixample,6,la Sagrada Família,36,587
2017,2,Eixample,6,la Sagrada Família,37,598
2017,2,Eixample,6,la Sagrada Família,38,1097
2017,2,Eixample,6,la Sagrada Família,39,703
2017,2,Eixample,6,la Sagrada Família,40,723
2017,2,Eixample,6,la Sagrada Família,41,761
2017,2,Eixample,6,la Sagrada Família,42,856
2017,2,Eixample,6,la Sagrada Família,43,657
2017,2,Eixample,6,la Sagrada Família,44,607
2017,2,Eixample,6,la Sagrada Família,45,562
2017,2,Eixample,6,la Sagrada Família,46,737
2017,2,Eixample,6,la Sagrada Família,47,827
2017,2,Eixample,6,la Sagrada Família,48,518
2017,2,Eixample,6,la Sagrada Família,49,862
2017,2,Eixample,6,la Sagrada Família,50,769
2017,2,Eixample,6,la Sagrada Família,51,908
2017,2,Eixample,6,la Sagrada Família,52,835
2017,2,Eixample,6,la Sagrada Família,53,812
2017,2,Eixample,6,la Sagrada Família,54,952
2017,2,Eixample,7,la Dreta de l'Eixample,55,858
2017,2,Eixample,7,la Dreta de l'Eixample,56,711
2017,2,Eixample,7,la Dreta de l'Eixample,57,702
2017,2,Eixample,7,la Dreta de l'Eixample,58,739
2017,2,Eixample,7,la Dreta de l'Eixample,59,913
2017,2,Eixample,7,la Dreta de l'Eixample,60,907
2017,2,Eixample,7,la Dreta de l'Eixample,61,730
2017,2,Eixample,7,la Dreta de l'Eixample,62,843
2017,2,Eixample,7,la Dreta de l'Eixample,63,826
2017,2,Eixample,7,la Dreta de l'Eixample,64,771
2017,2,Eixample,7,la Dreta de l'Eixample,65,992
2017,2,Eixample,7,la Dreta de l'Eixample,66,949
2017,2,Eixample,7,la Dreta de l'Eixample,67,789
2017,2,Eixample,7,la Dreta de l'Eixample,68,1077
2017,2,Eixample,7,la Dreta de l'Eixample,69,751
2017,2,Eixample,7,la Dreta de l'Eixample,70,809
2017,2,Eixample,7,la Dreta de l'Eixample,71,1052
2017,2,Eixample,7,la Dreta de l'Eixample,72,761
2017,2,Eixample,7,la Dreta de l'Eixample,73,874
2017,2,Eixample,7,la Dreta de l'Eixample,74,744
2017,2,Eixample,7,la Dreta de l'Eixample,75,725
2017,2,Eixample,7,la Dreta de l'Eixample,76,1034
2017,2,Eixample,7,la Dreta de l'Eixample,77,1783
2017,2,Eixample,7,la Dreta de l'Eixample,78,1656
2017,2,Eixample,7,la Dreta de l'Eixample,79,1903
2017,2,Eixample,7,la Dreta de l'Eixample,80,1552
2017,2,Eixample,7,la Dreta de l'Eixample,81,2183
2017,2,Eixample,7,la Dreta de l'Eixample,82,852
2017,2,Eixample,7,la Dreta de l'Eixample,83,2334
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,84,1159
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,85,1136
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,86,1028
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,87,647
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,88,1068
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,89,1156
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,90,752
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,91,903
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,92,988
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,93,843
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,94,756
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,95,758
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,96,714
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,97,496
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,98,724
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,99,761
